ID,Status,Type,Base Cost,GST Amount,Platform Fee,Payment Gateway Fee,Total (incl\. GST & fees),Currency,Rider,Driver
1,Started,ride,50,0,0,0,50,Rs,2,2
2,RiderCanceled,ride,50,0,0,0,50,Rs,2,null
3,RiderCanceled,ride,50,0,0,0,50,Rs,2,null
4,Started,ride,50,0,0,0,50,Rs,2,1
5,RiderCanceled,ride,50,0,0,0,50,Rs,2,null
6,DriverAccepted,ride,50,0,0,0,50,Rs,2,1
7,RiderCanceled,ride,50,0,0,0,50,Rs,2,null
8,Finished,ride,50,0,0,0,50,Rs,2,1
9,RiderCanceled,ride,50,0,0,0,50,Rs,2,null
10,Finished,ride,50,0,0,0,50,Rs,2,1
11,Finished,ride,50,0,0,0,50,Rs,2,1
12,RiderCanceled,ride,50,0,0,0,50,Rs,2,null
13,RiderCanceled,ride,50,0,0,0,50,Rs,2,null
14,RiderCanceled,ride,50,0,0,0,50,Rs,2,null
15,RiderCanceled,ride,50,0,0,0,50,Rs,2,null
16,Started,ride,50,0,0,0,50,Rs,2,1
17,RiderCanceled,ride,50,0,0,0,50,Rs,2,null
18,Finished,ride,50,0,0,0,50,Rs,2,1
19,RiderCanceled,ride,50,0,0,0,50,Rs,2,null
20,Finished,ride,50,0,0,0,50,Rs,2,1
21,Finished,ride,50,0,0,0,50,Rs,2,1
22,Finished,ride,50,0,0,0,50,Rs,2,1
23,Started,ride,50,0,0,0,50,Rs,2,1
24,Started,ride,50,0,0,0,50,Rs,2,1
25,Finished,ride,50,0,0,0,50,Rs,2,1
26,Started,ride,50,0,0,0,50,Rs,2,1
27,RiderCanceled,ride,50,0,0,0,50,Rs,2,null
28,RiderCanceled,ride,50,0,0,0,50,Rs,2,null
29,RiderCanceled,ride,50,0,0,0,50,Rs,2,null
30,RiderCanceled,ride,50,0,0,0,50,Rs,2,null
31,RiderCanceled,ride,50,0,0,0,50,Rs,2,null
32,RiderCanceled,ride,50,0,0,0,50,Rs,2,null
33,RiderCanceled,ride,50,0,0,0,50,Rs,2,null
34,Started,ride,50,0,0,0,50,Rs,2,1
35,RiderCanceled,ride,50,0,0,0,50,Rs,2,null
36,RiderCanceled,ride,50,0,0,0,50,Rs,2,null
37,RiderCanceled,ride,50,0,0,0,50,Rs,2,null
38,Started,ride,50,0,0,0,50,Rs,2,1
39,Arrived,ride,50,0,0,0,50,Rs,2,1
40,DriverAccepted,ride,50,0,0,0,50,Rs,2,1
41,Started,ride,50,0,0,0,50,Rs,2,1
42,Finished,ride,50,0,0,0,50,Rs,2,1
43,Finished,ride,50,0,0,0,50,Rs,2,1
44,Finished,ride,50,0,0,0,50,Rs,2,1
45,Finished,ride,50,0,0,0,50,Rs,2,1
46,Expired,ride,50,0,0,0,50,Rs,2,null
47,Finished,ride,50,0,0,0,50,Rs,2,1
48,Finished,ride,50,0,0,0,50,Rs,2,1
49,Finished,ride,50,0,0,0,50,Rs,2,1
50,Finished,ride,50,0,0,0,50,Rs,2,1
51,Finished,ride,50,0,0,0,50,Rs,2,1
52,Finished,ride,50,0,0,0,50,Rs,2,1
53,Finished,ride,50,0,0,0,50,Rs,2,1
54,Finished,ride,50,0,0,0,50,Rs,2,1
55,Finished,ride,50,0,0,0,50,Rs,2,1
56,Finished,ride,50,0,0,0,50,Rs,2,1
57,Finished,ride,50,0,0,0,50,Rs,2,1
58,Finished,ride,50,0,0,0,50,Rs,2,1
59,Finished,ride,50,0,0,0,50,Rs,2,1
60,Finished,ride,50,0,0,0,50,Rs,2,1
61,RiderCanceled,ride,50,0,0,0,50,Rs,2,null
62,Finished,ride,50,0,0,0,50,Rs,2,1
63,Finished,ride,50,0,0,0,50,Rs,2,1
64,Finished,ride,50,0,0,0,50,Rs,2,1
65,Finished,ride,50,0,0,0,50,Rs,2,1
66,RiderCanceled,ride,50,0,0,0,50,Rs,2,null
67,RiderCanceled,ride,50,0,0,0,50,Rs,2,null
68,RiderCanceled,ride,50,0,0,0,50,Rs,2,null
69,RiderCanceled,ride,50,0,0,0,50,Rs,2,null
70,RiderCanceled,ride,50,0,0,0,50,Rs,2,null
71,RiderCanceled,ride,50,0,0,0,50,Rs,2,null
72,RiderCanceled,ride,50,0,0,0,50,Rs,2,null
73,Finished,ride,50,0,0,0,50,Rs,2,1
74,Finished,ride,50,0,0,0,50,Rs,2,1
75,Finished,ride,50,0,0,0,50,Rs,2,1
76,Finished,ride,50,0,0,0,50,Rs,2,1
77,Finished,ride,50,0,0,0,50,Rs,2,1
78,Finished,ride,50,0,0,0,50,Rs,2,1
79,Finished,ride,50,0,0,0,50,Rs,2,1
80,Finished,ride,50,0,0,0,50,Rs,2,1
81,Finished,ride,50,0,0,0,50,Rs,2,1
82,Finished,ride,50,0,0,0,50,Rs,2,1
83,Finished,ride,50,0,0,0,50,Rs,2,1
84,Finished,ride,50,0,0,0,50,Rs,2,1
85,Finished,ride,50,0,0,0,50,Rs,2,1
86,Finished,ride,50,0,0,0,50,Rs,2,1
87,Finished,ride,50,0,0,0,50,Rs,2,1
88,Finished,ride,50,0,0,0,50,Rs,2,1
89,Finished,ride,50,0,0,0,50,Rs,2,1
90,Finished,ride,50,0,0,0,50,Rs,2,1
91,Finished,ride,50,0,0,0,50,Rs,2,1
92,Finished,ride,50,0,0,0,50,Rs,2,1
93,RiderCanceled,ride,50,0,0,0,50,Rs,2,null
94,Finished,ride,50,0,0,0,50,Rs,2,1
95,Finished,ride,50,0,0,0,50,Rs,2,1
96,Finished,ride,50,0,0,0,50,Rs,2,1
97,Finished,ride,50,0,0,0,50,Rs,2,1
98,Finished,ride,50,0,0,0,50,Rs,2,1
99,DriverAccepted,ride,50,0,0,0,0,Rs,2,1
100,Finished,ride,50,0,0,0,50,Rs,2,1
101,RiderCanceled,ride,12830.9,0,0,0,12830.9,Rs,2,null
102,RiderCanceled,ride,900.73,0,0,0,900.73,Rs,2,null
103,RiderCanceled,ride,1361.87,0,0,0,1361.87,Rs,2,null
104,RiderCanceled,ride,12833.23,0,0,0,12833.23,Rs,2,null
105,RiderCanceled,ride,826.43,0,0,0,826.43,Rs,2,null
106,RiderCanceled,ride,629.93,0,0,0,629.93,Rs,2,null
107,RiderCanceled,ride,630.77,0,0,0,630.77,Rs,2,null
108,RiderCanceled,ride,825.9,0,0,0,825.9,Rs,2,null
109,Expired,ride,1232.07,0,0,0,0,Rs,2,null
110,RiderCanceled,ride,634.1,0,0,0,634.1,Rs,2,null
111,Finished,ride,832.53,0,0,0,832.53,Rs,2,4
112,Finished,ride,1425.83,0,0,0,1425.83,Rs,2,4
113,RiderCanceled,ride,750.77,0,0,0,750.77,Rs,2,null
114,RiderCanceled,ride,750.27,0,0,0,750.27,Rs,2,null
115,DriverAccepted,ride,341.6,0,0,0,0,Rs,2,4
116,Finished,ride,751.43,0,0,0,751.43,Rs,2,4
117,RiderCanceled,ride,757.27,0,0,0,757.27,Rs,2,null
118,Finished,ride,1287.53,0,0,0,1287.53,Rs,2,4
119,Finished,ride,749.43,0,0,0,749.43,Rs,2,4
120,Finished,ride,820.2,0,0,0,820.2,Rs,2,4
121,RiderCanceled,ride,819.7,0,0,0,819.7,Rs,2,null
122,Finished,ride,50,0,0,0,50,Rs,2,4
123,Finished,ride,50,0,0,0,50,Rs,2,4
124,RiderCanceled,ride,50,0,0,0,50,Rs,2,null
125,RiderCanceled,ride,50,0,0,0,50,Rs,2,null
126,RiderCanceled,ride,50,0,0,0,50,Rs,2,null
127,Finished,ride,50,0,0,0,50,Rs,2,4
128,Finished,ride,50,0,0,0,50,Rs,2,4
129,Finished,ride,50,0,0,0,50,Rs,2,4
130,Finished,ride,470,0,0,0,470,Rs,2,4
131,Finished,ride,70,0,0,0,70,Rs,2,4
132,Finished,ride,90,0,0,0,90,Rs,2,4
133,Finished,ride,89.6,0,0,0,89.6,Rs,2,4
134,Finished,ride,122,0,0,0,122,Rs,2,4
135,Finished,ride,122,0,0,0,122,Rs,2,4
136,Finished,ride,122,0,0,0,122,Rs,2,4
137,Finished,ride,122,0,0,0,122,Rs,2,4
138,Finished,ride,320,0,0,0,320,Rs,2,4
139,Finished,ride,122,0,0,0,122,Rs,2,4
140,RiderCanceled,ride,122,0,0,0,122,Rs,2,null
141,DriverAccepted,ride,122,0,0,0,0,Rs,2,4
142,Finished,ride,140,0,0,0,140,Rs,2,4
143,Finished,ride,140,0,0,0,140,Rs,2,4
144,RiderCanceled,ride,104,0,0,0,104,Rs,2,null
145,RiderCanceled,ride,104,0,0,0,104,Rs,2,null
146,DriverAccepted,ride,50,0,0,0,0,Rs,2,4
147,Arrived,ride,86,0,0,0,0,Rs,2,4
148,Finished,ride,86,0,0,0,86,Rs,2,4
149,DriverAccepted,ride,86,0,0,0,0,Rs,2,4
150,RiderCanceled,ride,86,0,0,0,86,Rs,2,null
151,RiderCanceled,ride,86,0,0,0,86,Rs,2,null
152,RiderCanceled,ride,86,0,0,0,86,Rs,2,null
153,RiderCanceled,ride,86,0,0,0,86,Rs,2,null
154,RiderCanceled,ride,86,0,0,0,86,Rs,2,null
155,RiderCanceled,ride,86,0,0,0,86,Rs,2,null
156,Finished,ride,86,0,0,0,86,Rs,2,4
157,RiderCanceled,ride,86,0,0,0,86,Rs,2,null
158,RiderCanceled,ride,86,0,0,0,86,Rs,2,null
159,Finished,ride,86,0,0,0,86,Rs,2,4
160,Finished,ride,86,0,0,0,86,Rs,2,4
161,Finished,ride,86,0,0,0,86,Rs,2,4
162,RiderCanceled,ride,194,0,0,0,194,Rs,2,null
163,RiderCanceled,ride,194,0,0,0,194,Rs,2,null
164,DriverAccepted,ride,194,0,0,0,0,Rs,2,4
165,Finished,ride,68,0,0,0,68,Rs,2,4
166,Finished,ride,68,0,0,0,68,Rs,2,4
167,Finished,ride,68,0,0,0,68,Rs,2,4
168,RiderCanceled,ride,104,0,0,0,104,Rs,2,null
169,Finished,ride,68,0,0,0,68,Rs,2,4
170,Finished,ride,68,0,0,0,68,Rs,2,4
171,Finished,ride,140,0,0,0,140,Rs,2,4
172,Finished,ride,68,0,0,0,68,Rs,2,4
173,Finished,ride,68,0,0,0,68,Rs,2,4
174,RiderCanceled,ride,68,0,0,0,68,Rs,2,null
175,RiderCanceled,ride,68,0,0,0,68,Rs,2,null
176,Finished,ride,50,0,0,0,50,Rs,2,4
177,Expired,ride,122,0,0,0,0,Rs,3,null
178,Finished,ride,320,0,0,0,320,Rs,2,4
179,RiderCanceled,ride,194,0,0,0,194,Rs,2,null
180,Finished,ride,140,0,0,0,140,Rs,2,4
181,Finished,ride,320,0,0,0,320,Rs,2,4
182,Finished,ride,284,0,0,0,284,Rs,2,4
183,Finished,ride,122,0,0,0,122,Rs,2,4
184,Finished,ride,122,0,0,0,122,Rs,2,4
185,Finished,ride,104,0,0,0,104,Rs,2,4
186,RiderCanceled,ride,104,0,0,0,104,Rs,2,null
187,RiderCanceled,ride,104,0,0,0,104,Rs,2,null
188,RiderCanceled,ride,104,0,0,0,104,Rs,2,null
189,Finished,ride,104,0,0,0,104,Rs,2,4
190,Finished,ride,104,0,0,0,104,Rs,2,4
191,Finished,ride,122,0,0,0,122,Rs,2,4
192,Finished,ride,104,0,0,0,104,Rs,2,5
193,Finished,ride,104,0,0,0,104,Rs,2,5
194,RiderCanceled,ride,90,0,0,0,90,Rs,2,null
195,Finished,ride,90,0,0,0,90,Rs,2,5
196,RiderCanceled,ride,90,4.5,2,0,96.5,INR,2,null
197,RiderCanceled,ride,90,4.5,2,0,96.5,INR,2,null
198,RiderCanceled,ride,110,5.5,2,0,117.5,INR,2,null
199,RiderCanceled,ride,110,5.5,2,0,117.5,INR,2,null
200,Requested,ride,68,3.4,2,0,73.4,INR,2,null
201,Requested,ride,68,3.4,2,0,73.4,INR,2,null
202,Requested,ride,68,3.4,2,0,73.4,INR,2,null
203,Requested,ride,68,3.4,2,0,73.4,INR,2,null
204,Requested,ride,68,3.4,2,0,73.4,INR,2,null
205,Requested,ride,68,3.4,2,0,73.4,INR,2,null
206,Requested,ride,68,3.4,2,0,73.4,INR,2,null
207,Requested,ride,68,3.4,2,0,73.4,INR,2,null
208,Requested,ride,68,3.4,2,0,73.4,INR,2,null
209,Requested,ride,68,3.4,2,0,73.4,INR,2,null
210,Requested,ride,68,3.4,2,0,73.4,INR,2,null
211,Requested,ride,68,3.4,2,0,73.4,INR,2,null
212,Requested,ride,68,3.4,2,0,73.4,INR,2,null
213,Requested,ride,68,3.4,2,0,73.4,INR,2,null
214,Requested,ride,68,3.4,2,0,73.4,INR,2,null
215,Requested,ride,68,3.4,2,0,73.4,INR,2,null
216,Requested,ride,68,3.4,2,0,73.4,INR,2,null
217,Requested,ride,68,3.4,2,0,73.4,INR,2,null
218,Requested,ride,68,3.4,2,0,73.4,INR,2,null
219,Requested,ride,68,3.4,2,0,73.4,INR,2,null
220,Requested,ride,68,3.4,2,0,73.4,INR,2,null
221,Requested,ride,68,3.4,2,0,73.4,INR,2,null
222,Requested,ride,68,3.4,2,0,73.4,INR,2,null
223,Requested,ride,68,3.4,2,0,73.4,INR,2,null
224,Requested,ride,68,3.4,2,0,73.4,INR,2,null
225,Requested,ride,68,3.4,2,0,73.4,INR,2,null
226,Requested,ride,68,3.4,2,0,73.4,INR,2,null
227,Requested,ride,68,3.4,2,0,73.4,INR,2,null
228,Requested,ride,68,3.4,2,0,73.4,INR,2,null
229,Requested,ride,68,3.4,2,0,73.4,INR,2,null
230,Requested,ride,68,3.4,2,0,73.4,INR,2,null
231,Requested,ride,68,3.4,2,0,73.4,INR,2,null
232,Requested,ride,50,2.5,2,0,54.5,INR,2,null
233,Requested,ride,50,2.5,2,0,54.5,INR,2,null
234,Requested,ride,50,2.5,2,0,54.5,INR,2,null
235,Requested,ride,50,2.5,2,0,54.5,INR,2,null
236,Requested,ride,50,2.5,2,0,54.5,INR,2,null
237,Requested,ride,50,2.5,2,0,54.5,INR,2,null
238,Requested,ride,50,2.5,2,0,54.5,INR,2,null
239,Requested,ride,50,2.5,2,0,54.5,INR,2,null
240,Requested,ride,50,2.5,2,0,54.5,INR,2,null
241,Requested,ride,68,3.4,2,0,73.4,INR,2,null
242,Requested,ride,68,3.4,2,0,73.4,INR,2,null
243,Requested,ride,68,3.4,2,0,73.4,INR,2,null
244,Requested,ride,68,3.4,2,0,73.4,INR,2,null
245,Requested,ride,68,3.4,2,0,73.4,INR,2,null
246,Requested,ride,68,3.4,2,0,73.4,INR,2,null
247,Requested,ride,68,3.4,2,0,73.4,INR,2,null
248,Requested,ride,68,3.4,2,0,73.4,INR,2,null
